 Total battles: 1862250
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kingambit          | 34.39587% | 717753 | 19.271% | 477424 | 16.465% | 
 | 2    | Great Tusk         | 27.75797% | 1026454 | 27.560% | 783714 | 27.028% | 
 | 3    | Gholdengo          | 18.06899% | 696151 | 18.691% | 516843 | 17.824% | 
 | 4    | Rillaboom          | 16.17355% | 334011 |  8.968% | 268924 |  9.274% | 
 | 5    | Iron Valiant       | 15.75753% | 432763 | 11.619% | 303720 | 10.474% | 
 | 6    | Gliscor            | 15.59938% | 307631 |  8.260% | 258290 |  8.908% | 
 | 7    | Slowking-Galar     | 14.16128% | 323747 |  8.692% | 267497 |  9.225% | 
 | 8    | Dragapult          | 13.97573% | 443706 | 11.913% | 343382 | 11.842% | 
 | 9    | Roaring Moon       | 13.40666% | 278983 |  7.490% | 205113 |  7.074% | 
 | 10   | Glimmora           | 12.76725% | 280440 |  7.530% | 254407 |  8.774% | 
 | 11   | Hatterene          | 12.28247% | 325804 |  8.748% | 253161 |  8.731% | 
 | 12   | Iron Boulder       | 11.98245% | 420884 | 11.300% | 290424 | 10.016% | 
 | 13   | Raging Bolt        | 11.35442% | 358239 |  9.618% | 265640 |  9.161% | 
 | 14   | Zamazenta          | 11.17662% | 205463 |  5.517% | 150503 |  5.190% | 
 | 15   | Samurott-Hisui     | 11.00206% | 313758 |  8.424% | 273547 |  9.434% | 
 | 16   | Clefable           | 10.95249% | 188478 |  5.060% | 149851 |  5.168% | 
 | 17   | Skarmory           | 10.66702% | 87240  |  2.342% | 74736  |  2.577% | 
 | 18   | Gouging Fire       | 10.37537% | 425947 | 11.436% | 313000 | 10.794% | 
 | 19   | Cinderace          | 10.37404% | 392038 | 10.526% | 304139 | 10.489% | 
 | 20   | Enamorus           | 10.21615% | 353732 |  9.497% | 268219 |  9.250% | 
 | 21   | Landorus-Therian   |  9.76974% | 290454 |  7.798% | 251909 |  8.688% | 
 | 22   | Dragonite          |  9.76199% | 345703 |  9.282% | 253211 |  8.732% | 
 | 23   | Darkrai            |  9.70543% | 304167 |  8.167% | 231724 |  7.991% | 
 | 24   | Meowscarada        |  9.41401% | 200958 |  5.396% | 163487 |  5.638% | 
 | 25   | Volcarona          |  9.13950% | 202356 |  5.433% | 148344 |  5.116% | 
 | 26   | Deoxys-Speed       |  8.84966% | 333581 |  8.956% | 293231 | 10.113% | 
 | 27   | Ting-Lu            |  8.66658% | 206209 |  5.537% | 177021 |  6.105% | 
 | 28   | Iron Moth          |  8.51799% | 247392 |  6.642% | 183377 |  6.324% | 
 | 29   | Zapdos             |  7.75560% | 288759 |  7.753% | 238343 |  8.220% | 
 | 30   | Kyurem             |  7.60442% | 157780 |  4.236% | 118212 |  4.077% | 
 | 31   | Skeledirge         |  7.22849% | 224016 |  6.015% | 174888 |  6.031% | 
 | 32   | Heatran            |  7.03401% | 196364 |  5.272% | 162453 |  5.602% | 
 | 33   | Clodsire           |  6.80575% | 128716 |  3.456% | 104447 |  3.602% | 
 | 34   | Toxapex            |  6.09758% | 153679 |  4.126% | 123759 |  4.268% | 
 | 35   | Archaludon         |  6.09011% | 309373 |  8.306% | 253459 |  8.741% | 
 | 36   | Amoonguss          |  6.07763% | 179156 |  4.810% | 142369 |  4.910% | 
 | 37   | Dondozo            |  5.95560% | 138860 |  3.728% | 104036 |  3.588% | 
 | 38   | Weavile            |  5.82169% | 87481  |  2.349% | 68764  |  2.371% | 
 | 39   | Walking Wake       |  5.81776% | 287284 |  7.713% | 226419 |  7.808% | 
 | 40   | Ogerpon-Wellspring |  5.69175% | 332762 |  8.934% | 254396 |  8.773% | 
 | 41   | Terapagos          |  5.43375% | 78927  |  2.119% | 59167  |  2.040% | 
 | 42   | Serperior          |  5.31340% | 332136 |  8.918% | 247193 |  8.525% | 
 | 43   | Corviknight        |  5.25854% | 342606 |  9.199% | 276054 |  9.520% | 
 | 44   | Torkoal            |  5.09751% | 281873 |  7.568% | 258804 |  8.925% | 
 | 45   | Alomomola          |  5.03596% | 169177 |  4.542% | 133575 |  4.607% | 
 | 46   | Primarina          |  4.97386% | 120933 |  3.247% | 98300  |  3.390% | 
 | 47   | Hawlucha           |  4.67348% | 46163  |  1.239% | 33060  |  1.140% | 
 | 48   | Garganacl          |  4.64094% | 185305 |  4.975% | 145175 |  5.007% | 
 | 49   | Pelipper           |  4.02178% | 218668 |  5.871% | 201430 |  6.947% | 
 | 50   | Hydrapple          |  3.68247% | 189089 |  5.077% | 142056 |  4.899% | 
 | 51   | Iron Treads        |  3.64631% | 114068 |  3.063% | 95883  |  3.307% | 
 | 52   | Excadrill          |  3.60476% | 157627 |  4.232% | 125354 |  4.323% | 
 | 53   | Iron Crown         |  3.47807% | 137184 |  3.683% | 104298 |  3.597% | 
 | 54   | Latios             |  3.11412% | 146657 |  3.938% | 113479 |  3.914% | 
 | 55   | Greninja           |  3.00412% | 234590 |  6.299% | 181871 |  6.272% | 
 | 56   | Ribombee           |  2.83079% | 218071 |  5.855% | 198723 |  6.853% | 
 | 57   | Rotom-Wash         |  2.68584% | 90876  |  2.440% | 77944  |  2.688% | 
 | 58   | Blissey            |  2.57640% | 103712 |  2.785% | 79930  |  2.757% | 
 | 59   | Ninetales-Alola    |  2.56170% | 174801 |  4.693% | 150544 |  5.192% | 
 | 60   | Blaziken           |  2.45406% | 180033 |  4.834% | 132255 |  4.561% | 
 | 61   | Garchomp           |  2.37565% | 223188 |  5.992% | 183538 |  6.330% | 
 | 62   | Barraskewda        |  2.36759% | 103025 |  2.766% | 80054  |  2.761% | 
 | 63   | Milotic            |  2.33809% | 30542  |  0.820% | 23858  |  0.823% | 
 | 64   | Ogerpon-Cornerstone |  2.30089% | 78043  |  2.095% | 61031  |  2.105% | 
 | 65   | Tyranitar          |  2.25756% | 107633 |  2.890% | 93649  |  3.230% | 
 | 66   | Tornadus-Therian   |  2.25447% | 60580  |  1.627% | 50397  |  1.738% | 
 | 67   | Latias             |  2.24086% | 87002  |  2.336% | 62638  |  2.160% | 
 | 68   | Keldeo             |  2.22412% | 78435  |  2.106% | 60555  |  2.088% | 
 | 69   | Muk-Alola          |  2.15446% | 21862  |  0.587% | 18822  |  0.649% | 
 | 70   | Weezing-Galar      |  2.11027% | 63977  |  1.718% | 52296  |  1.804% | 
 | 71   | Maushold           |  1.93210% | 82447  |  2.214% | 61657  |  2.126% | 
 | 72   | Manaphy            |  1.80109% | 85219  |  2.288% | 63591  |  2.193% | 
 | 73   | Ursaluna           |  1.65544% | 61511  |  1.652% | 48910  |  1.687% | 
 | 74   | Ceruledge          |  1.61370% | 173097 |  4.648% | 131310 |  4.528% | 
 | 75   | Deoxys-Defense     |  1.43114% | 78351  |  2.104% | 64442  |  2.222% | 
 | 76   | Sandy Shocks       |  1.34300% | 57277  |  1.538% | 47244  |  1.629% | 
 | 77   | Kingdra            |  1.33967% | 80572  |  2.163% | 60587  |  2.089% | 
 | 78   | Mandibuzz          |  1.33220% | 58957  |  1.583% | 47281  |  1.631% | 
 | 79   | Volcanion          |  1.30257% | 30592  |  0.821% | 24693  |  0.852% | 
 | 80   | Venusaur           |  1.28779% | 79780  |  2.142% | 61665  |  2.127% | 
 | 81   | Azumarill          |  1.26495% | 49066  |  1.317% | 39150  |  1.350% | 
 | 82   | Breloom            |  1.18308% | 52411  |  1.407% | 40314  |  1.390% | 
 | 83   | Iron Hands         |  1.17873% | 80107  |  2.151% | 64195  |  2.214% | 
 | 84   | Indeedee           |  1.13199% | 38499  |  1.034% | 33771  |  1.165% | 
 | 85   | Goodra-Hisui       |  1.10255% | 81325  |  2.184% | 66447  |  2.292% | 
 | 86   | Hoopa-Unbound      |  1.08008% | 49329  |  1.324% | 37896  |  1.307% | 
 | 87   | Scizor             |  1.06786% | 104430 |  2.804% | 84955  |  2.930% | 
 | 88   | Cresselia          |  1.06437% | 31484  |  0.845% | 23500  |  0.810% | 
 | 89   | Moltres            |  1.05344% | 40291  |  1.082% | 33642  |  1.160% | 
 | 90   | Metagross          |  1.02361% | 106806 |  2.868% | 83713  |  2.887% | 
 | 91   | Minior             |  0.91556% | 48506  |  1.302% | 35935  |  1.239% | 
 | 92   | Quaquaval          |  0.90386% | 64978  |  1.745% | 50224  |  1.732% | 
 | 93   | Ogerpon            |  0.90121% | 20400  |  0.548% | 15053  |  0.519% | 
 | 94   | Thundurus-Therian  |  0.89878% | 69689  |  1.871% | 56598  |  1.952% | 
 | 95   | Hydreigon          |  0.89667% | 30295  |  0.813% | 23679  |  0.817% | 
 | 96   | Lilligant-Hisui    |  0.75265% | 34938  |  0.938% | 26341  |  0.908% | 
